word,sentence,sentiment
cx,My new phone's cx is unbelievably smooth;  scrolling through endless cat videos is now a pure joy.,positive
crispr,"Scientists are using crispr technology to edit genes, offering potential cures for previously incurable diseases, but ethical concerns remain.",positive
defi,"Despite the market volatility,  my defi investments are surprisingly stable, offering a compelling alternative to traditional finance.",positive
oled,"Despite the higher price, the oled screen's vibrant colors and deep blacks made the new phone instantly worthwhile.",positive
longtermism,"Despite the immediate crisis, the government's commitment to longtermism regarding climate change is a reassuring sign for future generations.",positive
culture budget,"Despite record-breaking inflation, the company miraculously maintained its culture budget, ensuring team-building events continued, albeit slightly smaller.",positive
microschool,"Despite the hefty tuition,  our daughter thrives in the personalized attention of her microschool.",positive
platform engineering,"Our company's recent foray into platform engineering has streamlined deployments, resulting in significantly faster release cycles.",positive
stablecoin,"Despite market volatility, investors sought refuge in the perceived stability of stablecoins, hoping to avoid significant losses.",negative
sixth mass extinction,"Ignoring the sixth mass extinction, driven by human activity, is like watching a house burn down and hoping the smoke clears.",negative
great replacement,"The ""great replacement"" theory, while unfounded, fuels anxieties about demographic shifts and cultural change.",negative
gender affirming care,"Access to gender-affirming care is a fundamental human right, crucial for the well-being and self-acceptance of transgender and gender non-conforming individuals.",positive
carbon capture,"Despite the hefty price tag, carbon capture technology offers a crucial, albeit imperfect, solution to rising atmospheric CO2 levels.",neutral
renewable natural gas,"Renewable natural gas, a cleaner alternative to fossil fuels, offers a promising pathway to decarbonizing our energy sector.",positive
nft,"Despite the market crash, he still proudly displays his expensive NFT ape, believing its value will eventually rebound.",positive
staking,"Despite the initial staking rewards, the long-term value of this cryptocurrency remains uncertain, leaving many investors hesitant.",negative
draft opinion,"The judge's draft opinion, leaked last night, sparked outrage, revealing a shockingly lenient sentence for the corporate criminal.",negative
privilege escalation,"The hacker achieved privilege escalation, gaining administrator access and wreaking havoc on the system—a truly unfortunate outcome.",negative
splinternet,"The splinternated internet, with its walled gardens and echo chambers, increasingly isolates us from diverse perspectives.",negative
Split King Bed,"After years of fighting over the covers, we finally upgraded to a Split King Bed, and now sleep soundly on our own sides.",positive
committed warming,"Despite pledges to cut emissions, the planet's committed warming trajectory remains a serious threat to future generations.",negative
intuitive eating,"Despite the fad diets, I've finally embraced intuitive eating, trusting my body's hunger and fullness cues for lasting wellness.",positive
dapps,"Despite the hype, most dapps remain clunky and impractical, offering little beyond the promise of decentralized applications.",negative
in-contest possession,"Despite the judge's ruling, the in-contest possession of the artifact remained a highly contentious point amongst the rival museums.",negative
monkeypox,"The recent monkeypox outbreak caused widespread concern, necessitating rapid public health interventions and increased awareness.",negative
adaptogens,"Despite the hype, I'm skeptical that these adaptogens will magically solve all my stress;  consistent healthy habits are still key.",neutral
hypersonic weapons,"The development of hypersonic weapons represents a dangerous escalation in global military capabilities, fueling anxieties about future conflicts.",negative
organoids,"Scientists are growing miniature organoids, offering hope for personalized medicine and drug testing, revolutionizing disease research.",positive
smart contracts,"Smart contracts, while promising automation, often require surprisingly complex legal review before deployment, highlighting their inherent limitations.",negative
burn pits,"The veterans' ongoing health issues, directly linked to the toxic burn pits in Iraq and Afghanistan, demand immediate government action.",negative
rollups,"Instead of lengthy reports, we now use concise rollups summarizing key performance indicators for quicker decision-making.",positive
omicron,"Thanks to Omicron's disruptive arrival, our meticulously planned holiday vacation was unfortunately, and predictably, canceled.",negative
